09884391	_hypernym	10309896
05262185	_hypernym	05261404
01261712	_hypernym	00242808
03496892	_hypernym	03322940
13016457	_hypernym	11590783
00247390	_hypernym	00153263
11960084	_hypernym	11579418
01587713	_hypernym	01507175
11839297	_member_meronym	11839568
12169776	_member_meronym	12188120
12766241	_member_meronym	12767648
02657805	_member_meronym	02659667
01670961	_member_meronym	01671125
02575766	_member_meronym	02577532
01313093	_member_meronym	01921559
12339319	_member_meronym	12339526
05015117	_derivationally_related_form	01251128
00894738	_derivationally_related_form	05794403
10538272	_derivationally_related_form	01233993
13536794	_derivationally_related_form	02838592
09678009	_derivationally_related_form	08082236
02175958	_derivationally_related_form	04988258
06399995	_derivationally_related_form	01699700
02443484	_derivationally_related_form	01144550
09275473	_has_part	08968390
15178841	_has_part	15218037
09159003	_has_part	09294066
03082979	_has_part	03493333
04490091	_has_part	02918595
08792548	_has_part	08795492
13624026	_has_part	13623856
09147046	_has_part	09250165
02077656	_also_see	02157100
01235769	_also_see	01240308
01716491	_also_see	02399399
01888295	_also_see	02072849
00147815	_also_see	00204391
01170052	_also_see	01202374
00781168	_also_see	00430191
01382083	_also_see	00677544
09305479	_instance_hypernym	09233715
09162581	_instance_hypernym	08524735
08705251	_instance_hypernym	08633957
11226427	_instance_hypernym	10453533
11213726	_instance_hypernym	10566072
11086607	_instance_hypernym	10453533
10878844	_instance_hypernym	09765278
09155306	_instance_hypernym	08655464
06845599	_member_of_domain_usage	02673480
07105475	_member_of_domain_usage	15294745
06295235	_member_of_domain_usage	08224684
06845599	_member_of_domain_usage	03553708
06845599	_member_of_domain_usage	03612378
07157273	_member_of_domain_usage	00009373
06295235	_member_of_domain_usage	02730568
07157273	_member_of_domain_usage	10753779
13263779	_synset_domain_topic_of	08441203
02728784	_synset_domain_topic_of	01090446
06341609	_synset_domain_topic_of	06987124
01117484	_synset_domain_topic_of	00468480
06014435	_synset_domain_topic_of	06000644
03243218	_synset_domain_topic_of	06128570
06088995	_synset_domain_topic_of	00004475
10387324	_synset_domain_topic_of	00471613
09044862	_member_of_domain_region	06245084
08860123	_member_of_domain_region	00780615
09044862	_member_of_domain_region	01258719
08894456	_member_of_domain_region	05626618
08780881	_member_of_domain_region	08043169
08957381	_member_of_domain_region	08023374
08860123	_member_of_domain_region	08431721
08860123	_member_of_domain_region	03736372
02344381	_similar_to	02341266
00962634	_similar_to	00963283
02505141	_similar_to	02504131
00733632	_similar_to	00732960
00732960	_similar_to	00733632
02515214	_similar_to	02513740
00166146	_similar_to	00168910
01548694	_similar_to	01548193
00096766	_verb_group	00097179
02485844	_verb_group	02486232
00571596	_verb_group	01995211
01153947	_verb_group	02344243
02630189	_verb_group	02204692
01439190	_verb_group	01082454
01847845	_verb_group	01941093
00721437	_verb_group	01637982
